CRD_UP_AVE,CRD_UP_STD,CRS_UP_AVE,CRS_UP_STD,CRM_UP_AVE,CRM_UP_STD,INV_UP_AVE,INV_UP_STD,DLT_UP_AVE,DLT_UP_STD,SED_AVE,SED_STD,SED_GRD,SRO_DG_AVE,SRO_DG_STD,IRO_DG_AVE,IRO_DG_STD,LRO_DG_AVE,LRO_DG_STD,FRE_DG_AVE,FRE_DG_STD,FRE_UP_AVE,FRE_UP_STD,EGO_UP_AVE,EGO_UP_STD,EGO_L_UP_AVE,EGO_L_UP_STD,EGO_SL_UP_AVE,EGO_SL_UP_STD,EGO_UM_UP_AVE,EGO_UM_UP_STD,EGR_DG_AVE,EGR_DG_STD,EGR_UP_AVE,EGR_UP_STD,EGR_BG_UP_AVE,EGR_BG_UP_STD,DXT_200,DXT_400,DXT_600,FDM_200,FDM_400,FDM_600,SDM_200,SDM_400,SDM_600,V_UP,V_TN,AGE,MR_GCMT
,,,,,,,,,,734.9211047629021,68.88789386456641,0.0011614283514185,,,,,,,,,,,,,,,,,,,,,,,,,22.7465,16.9498,17.19,0.0068813495899664,0.0109203374498093,0.0076840594711044,0.0002545787857543,0.0002561807665917,0.0002874497377687,4.6,4.6,45.0,1.0
7.863e-07,3.152e-07,1.022e-07,3.049e-07,9.169e-07,4.279e-07,209.633774106,200.5554568295,-100.2987099926,101.9073080211,851.0639399047528,105.2469641517638,0.0011614283514185,,,,,,,-63.7664745758,60.0569851604,17.7615859719,87.8618297369,8.859621504,2.5758058811,1.1841547482,2.6208980077,-0.0198144261,2.8947431011,1.4937108005,2.261530016,-49.8436720915,56.4954662258,19.9393230458,83.14646359,248.5969906398,46.4608538466,21.6712,16.2503,18.3654,0.0145722443604358,0.0034075029565466,0.0153989540816957,0.0003580833016413,0.0004002941392137,0.0003369342008573,4.6,4.6,45.0,5.1
1.0502e-06,6.05e-07,-3.48e-07,4.56e-07,7.217e-07,5.926e-07,167.0026944428,144.5893402009,-34.6705808673,57.3520186234,907.9900264742188,132.43416258748695,0.0005692608656946,,,,,,,-19.3928073405,77.9701696957,27.5646867126,105.6096027864,9.0317262668,2.7763517715,2.5696392981,2.8123859036,1.2876047257,2.9390708022,2.2576693097,2.448954276,-16.702457522,80.3727821664,26.4183677015,101.2696024621,240.350048212,42.9779481609,19.7174,16.5508,20.3824,0.0232784443222587,0.008654142222669,0.0243204742440678,0.0002903516658446,0.0005376506426749,0.0003796516360464,4.6,4.6,45.0,5.1
1.4367e-06,5.058e-07,-2.413e-07,2.309e-07,8.121e-07,4.552e-07,190.627257813,143.3908395084,-24.1864871805,26.3546525499,919.3977232584892,103.86324153863826,0.0001140769678427,,,,,,,2.0222790731,71.1737781419,53.9687371109,90.8011922356,9.149632507,2.4003281673,3.62468498,2.3568063294,2.4223025534,2.2658891121,2.6812736559,2.5027207878,2.9556084979,71.0194743516,53.5711547917,87.6895005901,233.2816021381,42.2752682034,17.0695,18.1928,23.3476,0.0269709970773659,0.0234195230766748,0.0342042307970575,0.0001568118131179,0.0006488452955751,0.0004124906356266,4.6,4.6,45.0,5.5
1.6393e-06,6.399e-07,-1.124e-07,2.234e-07,7.709e-07,4.301e-07,218.683441502,142.6793395274,-31.6988874205,25.9523491258,815.8002295632813,126.59383497577728,0.001035974936952,,,,,,,15.8273279688,66.3997471856,29.8615466082,86.336137635,7.5616629725,2.5787405191,2.6789095331,2.5366523943,1.6325341571,2.68254332,1.6749264361,2.3314891024,16.3213531699,67.2409934108,30.1511324138,86.1638899729,219.0838636398,39.4646353791,14.6984,21.4526,27.3428,0.0167325403726659,0.040505069490728,0.0447755554676644,0.0008577597882031,0.0007162335257634,0.0004330972409209,4.6,4.6,45.0,5.3
1.8907e-06,9.061e-07,-2.688e-07,2.342e-07,1.1745e-06,6.45e-07,228.599032688,136.0013278874,-36.2175722134,25.6483090032,763.4989590114908,156.4734078515587,0.0005230127055179,,,,,,,14.3639695762,59.6408413607,-11.5284242317,83.1800789363,5.2291390143,2.9611639462,0.7530718658,2.9078846701,-0.1431977026,3.2245377198,-0.1912239898,2.6735437888,15.248837019,59.7897157156,-10.9445776238,80.8571777295,214.4787912039,43.7837683435,14.4961,26.4974,32.4194,0.0164142522561787,0.0586545993492535,0.0557084775918272,0.001847858017104,0.0007266457504879,0.0004398308575951,4.6,4.6,45.0,1.0
2.2703e-06,7.22e-07,-3.67e-08,1.505e-07,1.0128e-06,6.019e-07,207.3507131865,146.1082938409,-33.6867289685,31.6437604823,746.4141772166988,179.16065877655657,0.0001708478179479,,,,,,,-2.9069795385,67.272668604,-8.5538705956,62.3302908287,4.3722162245,2.4138976489,0.2332952351,2.3608723515,-0.0704055785,2.625847083,-0.8672884751,2.1289886374,-0.7244341065,65.7535665966,-8.7529234279,61.1404441993,217.7332225618,39.1969214081,18.8961,33.3526,38.5942,0.0718858811413625,0.0763644461747095,0.0666459613060754,0.0026484441488973,0.0006747443422106,0.0004319657941297,4.6,4.6,45.0,1.0
2.2537e-06,6.045e-07,-1.63e-07,7.7e-08,1.0896e-06,3.252e-07,226.5293247997,127.9096382077,-38.0911911489,31.81062407,814.2819392657275,134.6721745556584,0.0006786776204902,147.1537931034,50.2144167315,528.5485344828,220.5840802367,287.8048214286,179.7689670054,10.983111134,52.0129927554,-24.2249127834,70.0863837597,2.8346444745,2.6790340242,-1.00536313,2.6619452755,-1.0122828656,2.9073588274,-1.7198766569,2.3694752939,10.9056253497,52.7266876773,-22.852372061,69.2170019864,220.6592228413,42.1731989178,29.8416,41.889,45.8474,0.1406696134108672,0.0921102650893831,0.0772243235772458,0.0026894225810981,0.0005655637503001,0.0004098107826845,4.6,4.6,45.0,5.3
2.2092e-06,5.087e-07,1.04e-08,9.78e-08,1.1688e-06,2.064e-07,218.9004150101,110.0714263074,-45.1088712079,21.399954807,714.7529796952858,128.56080064495313,0.0009952895957044,163.5662886598,44.9694740293,609.8449484536,180.3899447758,587.4772508591,213.9882646379,14.6142768826,43.8328576376,-44.599207156,81.0874454341,0.9289122982,2.791508085,-2.7248887466,2.7668745551,-2.6065058996,2.8582907574,-3.034209456,2.3579064783,14.5550947756,43.2496135082,-47.0380666043,79.1524630379,211.242646626,49.6482289566,47.3955,51.8353,54.1239,0.1980566470789566,0.1046212937832925,0.0870994413801237,0.0016067417380334,0.000415470685146,0.000374716465153,4.6,4.6,45.0,7.1
2.2126e-06,4.397e-07,2.321e-07,1.603e-07,9.883e-07,2.533e-07,213.8611954009,134.7576321425,-49.6948248225,34.7068210035,478.41687724901095,112.24035468045174,0.0023633610244627,157.7274,21.8591829805,1159.6324,738.6083215432,901.3493333333,380.1007022526,-4.6934027516,46.0712336264,-12.4797858592,55.292733919,2.9303604596,1.9126890537,-0.6253255538,1.8747951027,-0.0177219837,1.9072009777,-1.2593189667,1.6349424162,-5.3702088077,45.4357948949,-10.6010068324,52.8726798725,227.4653548773,39.0006277528,68.8787,62.8187,63.3361,0.2175334031545143,0.1131518426868925,0.095971581441268,0.0005710702371081,0.0002505093569915,0.000328936203049,4.6,4.6,45.0,8.7
3.1948e-06,1.5419e-06,-6.887e-07,7.457e-07,2.1702e-06,1.7806e-06,201.7627065739,142.1751499487,-53.8508165829,43.850534255,560.7219800251341,140.63995259774103,0.0008230510277612,201.1759793814,17.8754889867,1449.9644329897,643.5884904015,1009.431443299,306.554234461,-18.5675346455,63.9213128238,4.8855417874,69.5669162159,2.8895755687,2.0121971918,-0.3664438272,1.9993919678,0.6480212072,2.0097275984,-0.9989981831,1.8216480619,-16.1025967002,63.2017907679,4.3759995253,68.2245118789,226.577497474,34.5500441569,89.5922,74.4299,73.37,0.1881047850865389,0.1176687572136647,0.1036046785139984,0.0021088747424861,0.0001007176478045,0.0002752958291493,4.6,4.6,45.0,8.7
3.2589e-06,1.933e-06,-2.479e-07,3.105e-07,1.3067e-06,1.7375e-06,209.6012823353,121.2610666249,-66.0442569064,40.1490635978,639.7274796859239,100.7610649257805,0.0007900549966078,227.6170945946,37.7849099412,1030.9563513514,240.0695721406,776.9785135135,293.4479770124,-1.019198357,52.8162103433,-14.6660455423,78.5347983755,2.1955905237,2.9835217299,-0.7146684924,2.9598254749,0.5219107786,3.0195259687,-1.1293339644,2.6186594924,-2.5763933035,53.8490959493,-14.8600889458,76.6352863896,222.7936125298,45.0075637495,105.1434,86.2969,84.0915,0.1243730402756691,0.1188504116978386,0.1098352940150429,0.0028413565354211,2.2901494253784052e-05,0.0002167028813099,4.6,4.6,45.0,8.7
3.4065e-06,1.7511e-06,-9.66e-08,1.884e-07,1.4935e-06,1.0644e-06,208.9001403337,93.6926832821,-76.7207590584,36.2405682394,426.84977751515385,53.94995108326798,0.0021287770217077,252.8195575221,64.2477524608,992.5710176991,327.840802216,717.2746902655,228.917561434,16.5366871436,43.8461394925,-30.3796719622,122.0924815818,1.3464792268,4.5757851891,-1.2521856805,4.5142135678,0.0119865436,4.5727203117,-1.3666602586,4.0917281652,16.0824485961,42.81255696,-33.462067142,121.2992965137,205.3353036063,40.3940857147,113.7259,98.1461,95.3546,0.0574952636666252,0.1178565691600896,0.1145693386817495,0.0022504019402245,6.756156415512818e-05,0.00015570564558,4.6,4.6,45.0,8.7
3.5977e-06,1.5016e-06,-8.86e-08,3.753e-07,1.9637e-06,8.154e-07,210.4241535641,107.7217255369,-86.9350156549,63.1378525143,412.9509708365361,45.8468344834676,0.0001389880667861,170.0420512821,40.6878329309,658.7827179487,247.5962098076,684.4749230769,252.1103807307,12.4661462493,47.5326671045,10.2128869104,133.1739475057,2.9721007389,4.8347717666,0.6160834273,4.7451706079,1.9045754294,4.7913182659,0.273687198,4.4463292096,12.1175838991,47.2332870065,10.9899826402,130.3788632542,209.9047257273,40.1344268848,116.773,109.8312,107.0069,0.0168970728972524,0.1159612519545057,0.1177701808683238,0.0007643014983426,7.83251725059553e-05,9.428067805611878e-05,4.6,4.6,45.0,8.7
3.9113e-06,1.4029e-06,-4.016e-07,2.897e-07,2.2289e-06,8.229e-07,244.3396800107,130.8294091024,-107.318331207,68.5099604086,399.50122911104086,34.944481058108416,0.0001344974172549,188.8282162162,58.5506972337,632.148,185.8755980111,516.7679459459,159.2250102353,-4.1298915261,47.611310182,25.6184907096,127.9392267234,3.3398346024,4.8110224772,1.2978656383,4.7001083296,2.5330329795,4.7490772895,0.9213998949,4.5564783045,-4.3641536264,47.4166132146,23.877186364,127.0145722675,210.3210462532,38.4974908079,117.9461,121.3237,118.895,0.0171268771295639,0.1141924765364631,0.1194440747518365,0.0009040131522838,5.7722848789943896e-05,3.384170369842947e-05,4.6,4.6,45.0,8.7
4.1975e-06,1.4809e-06,-3.373e-07,1.917e-07,2.056e-06,7.543e-07,243.6656584891,122.8569732092,-122.4642762143,64.9990226875,400.10583312994,40.05450097510925,6.046040188991131e-06,257.5395073892,95.2888750388,948.3966009852,334.02737652,778.2396059113,377.4616516846,-3.0743926948,48.7828080442,9.2665070916,123.2680395993,2.5766458302,4.8253637808,0.887011939,4.6440983784,1.9931899426,4.7334443182,0.3622968522,4.3117810077,-2.9360197627,48.1854031719,12.4328078991,122.7557361517,202.5502215624,42.9012344848,121.3238,132.6726,130.8679,0.0539894875275274,0.1130857193903413,0.1196275943667149,0.0020193667458374,2.836671368392204e-05,2.4950590621793003e-05,4.6,4.6,45.0,8.7
4.5225e-06,1.4228e-06,-4.813e-07,4.374e-07,2.2115e-06,6.451e-07,233.4350041793,117.9537502987,-127.2679051556,65.6579073719,428.9184672037555,67.46864467945827,0.0002881263407381,229.503164557,65.014086897,793.1682278481,302.3727525388,574.9132278481,330.4736053695,-7.0338427349,50.7635511396,-15.1218376821,96.3407033497,1.9252214696,4.0728075438,0.4968320834,3.8546501894,1.4939939801,3.9712138196,-0.212542626,3.6214196977,-6.2948722263,50.0374608068,-16.1719727907,95.8418283872,197.2364854923,48.3243596226,129.6506,143.9493,142.7796,0.1081957609818965,0.1126058365111031,0.1183798030911994,0.002154482400502,1.204573979917444e-05,8.025271865383928e-05,1.6,1.6,45.0,8.7
