,DXT_200,FDM_200,SDM_200,DXT_400,FDM_400,SDM_400,DXT_600,FDM_600,SDM_600,SED_AVE,SED_STD,SED_GRD,V_UP,V_TN,AGE,FRE_DG_AVE,FRE_DG_STD,EGR_DG_AVE,EGR_DG_STD,SRO_DG_AVE,SRO_DG_STD,IRO_DG_AVE,IRO_DG_STD,LRO_DG_AVE,LRO_DG_STD,CRD_UP_AVE,CRD_UP_STD,CRS_UP_AVE,CRS_UP_STD,CRM_UP_AVE,CRM_UP_STD,FRE_UP_AVE,FRE_UP_STD,EGO_UP_AVE,EGO_UP_STD,EGO_L_UP_AVE,EGO_L_UP_STD,EGO_SL_UP_AVE,EGO_SL_UP_STD,EGO_UM_UP_AVE,EGO_UM_UP_STD,EGR_UP_AVE,EGR_UP_STD,EGR_BG_UP_AVE,EGR_BG_UP_STD,INV_UP_AVE,INV_UP_STD,DLT_UP_AVE,DLT_UP_STD,MR_GCMT
0,205.5941,0.0276111026079912,0.0035972230871679,226.7789,0.1366475362933198,0.0016530786705394,255.6017,0.1274709553970993,0.0004033128771051,136.98437345024064,93.68739665356436,0.0001359626211283,29.7,29.7,8.0,4.3401323427,20.9178994116,5.180869921,19.6721131279,133.7204545455,36.3271770174,349.3432467532,226.0528008481,336.5975974026,110.5065655572,4.0443e-06,2.4718e-06,-3.574e-07,5.817e-07,1.7006e-06,1.8241e-06,2.4741333141,59.1793898629,-17.7238001294,3.6046960964,0.4806459621,2.2119112938,-1.1298237025,2.6979204686,5.8316121128,3.0365727914,-0.6103287048,51.0218748819,-3.8756076945,106.9556637036,265.8361692429,210.1743287512,-249.1197276264,219.087782924,7.98
1,213.5405,0.1335687500203551,0.0051034770436702,242.658,0.176076869050797,0.0014681478951222,268.8486,0.1356252873262997,0.0002306131671556,150.58063556307098,105.48269813019412,0.0001359626211283,29.7,29.7,8.0,1.7130467482,27.9389788344,2.2361163304,26.4402807835,196.9369285714,62.8568643131,485.1915714286,230.5163950484,373.8934285714,161.2035653973,3.628e-06,3.0589e-06,4.916e-07,5.671e-07,1.3349e-06,2.2753e-06,18.587008259,71.7069925721,-16.0788361512,3.4354311321,0.7521154292,2.2615761444,-0.5692949885,2.6847069295,6.6349468763,2.8549322378,15.7465520115,64.9924135971,-16.5339942446,103.9760405158,209.8083988781,215.7018079145,-176.0826160337,201.6563219046,7.6
2,234.0716,0.2633041695377611,0.0048982324584392,262.1879,0.2088695633401668,0.0010853335528734,282.6692,0.1391625487406775,5.782901981694639e-05,149.27585207183105,68.73482310350614,1.3047834912399414e-05,29.7,29.7,8.0,-4.2601140347,32.9546578046,-2.7549833624,30.4467114598,259.2563793103,58.7023724833,713.3628448276,268.1771538645,413.398362069,180.5367057288,2.8174e-06,2.9652e-06,1.0221e-06,6.886e-07,9.899e-07,1.871e-06,21.9459830652,85.2214349847,-14.893662738,3.3846013011,0.5367766712,2.367855169,-0.4697923821,2.7520743206,7.0347190779,2.9206492898,17.7745552593,76.9038655361,-22.5788513982,99.1268881235,211.0979795456,124.4499856889,-186.1374236583,118.528281068,7.97
3,266.6265,0.3632588228068664,0.0025470324105068,284.4139,0.2300573562457808,0.0005293476391387,296.5584,0.1374122244077705,0.000192073213971,168.22805812903684,92.02859738303336,0.000189522060572,29.7,29.7,8.0,-8.5703593208,29.6036226757,-8.6205206944,28.331660055,296.6393859649,52.076438813,708.2684210526,144.3557872221,329.8077192982,103.8681529298,2.0417e-06,2.622e-06,9.102e-07,5.546e-07,5.984e-07,1.6152e-06,13.4596008372,65.1817819717,-14.1123049943,3.1432241882,-0.0895896324,2.0833628416,-0.7509114255,2.5447607725,6.9576199894,2.746844279,13.7758470546,58.9644434163,-13.4410345536,88.849326135,190.9870824116,75.6343405716,-183.0658148789,83.4206514728,7.97
4,305.4315,0.3882554606124102,0.0011247098256714,307.9518,0.2358962287650239,0.0002060017130974,309.9671,0.1300814450623942,0.0004161908575765,164.9682525150238,79.043883753833,3.2598056140130395e-05,25.1,25.1,15.0,-1.774582137,24.8760256647,-2.761880046,24.7442925373,287.897852349,98.9425695842,627.404295302,122.5569080759,294.7484563758,111.8992624666,1.9922e-06,2.0747e-06,5.178e-07,1.0408e-06,2.487e-07,1.6498e-06,-4.893520878,51.9177677535,-14.4035870059,3.2605402148,-1.3069417126,1.9179478526,-1.7998794794,2.6342129207,5.9574550246,2.7807316931,-5.6467192514,47.9419684381,5.0677131893,84.9365535735,189.6218688718,50.069938254,-186.7595255452,56.8787395368,7.97
5,342.008,0.3315063765004677,0.0036193624513077,331.1304,0.2243664627783224,0.0008495554978471,322.3364,0.1172451362062532,0.0006287846795597,168.89393893156517,76.0476489601456,3.9256864165413685e-05,25.1,25.1,15.0,2.2980255313,23.2575981837,2.6306112973,22.3345489878,242.6901219512,87.3480780429,531.0109756098,108.1514978653,304.2848780488,76.4271259427,2.0899e-06,1.7411e-06,3.776e-07,1.3115e-06,1.203e-07,1.7078e-06,-13.5625178776,52.7120256107,-14.0352390485,3.1319133707,-1.7269079226,1.9200229848,-2.0536279337,2.6107731835,5.765542932,2.7373771509,-13.2425284527,48.4711455555,21.655452771,88.5189077468,207.0996496027,67.9375819392,-205.5266476371,71.9283890321,7.97
6,369.7346,0.2280926009164006,0.0043983414997264,352.19,0.1955389750733767,0.0015077697464638,333.1364,0.0993648128785443,0.0008146224050958,228.27869540354092,149.00644275427732,0.0005938475647197,25.1,25.1,15.0,-0.9215412776,24.7140709001,-0.1089969571,24.273459219,192.0111538462,38.8922680794,423.1073076923,99.0955086057,190.4644615385,58.6042669103,2.7402e-06,1.6764e-06,8.693e-07,1.3999e-06,7.895e-07,1.3588e-06,15.1659591804,68.3408651625,-11.9166676085,2.7997651163,-0.9583231685,2.1262147555,-0.7514242082,2.4745468619,7.0660325144,2.5711346121,14.8824665658,61.7680183893,1.3846829642,87.9660814817,174.5132758781,70.8972714834,-173.6135700174,73.8571065049,7.97
7,386.6349,0.1256532462529846,0.0035115304001765,369.4923,0.1515079040003924,0.0020425967392366,341.9038,0.0772664097881919,0.0009601813071786,215.9666684468833,100.45114643815398,0.0001231202695665,25.1,25.1,15.0,-0.5055996797,27.8334662807,-1.1002137408,29.4418602701,129.1995384615,25.9602924857,362.9120769231,69.0657391709,130.2904615385,50.3391381281,1.613e-06,2.6031e-06,1.1356e-06,1.0388e-06,1.2579e-06,1.2355e-06,23.0085611351,83.9403555846,-10.4861882054,3.0119855049,-0.6397260356,2.5410524356,-0.0458959717,2.7788739914,7.7055529539,2.8157261719,21.2620423995,78.5134036141,-4.4944844739,84.2675444271,205.2836384074,75.4812301334,-211.7049974568,85.3538286579,7.3
8,394.8093,0.0541312821205249,0.0020894226994215,381.7059,0.096028563302414,0.0023983196854871,348.2758,0.0520832078267767,0.0010548614761364,194.36065498724588,39.78426865994929,0.0002160601345963,23.2,23.2,15.0,-0.6269987101,31.4717034847,-0.0442476014,30.6359511125,108.286641791,51.7833705074,287.3134328358,143.8533720578,115.0447014925,25.0708661178,1.149e-07,2.2622e-06,-9.02e-08,2.507e-07,2.182e-07,1.1779e-06,22.4569697325,76.6090573043,-9.5473550706,3.0508342996,-0.6687334842,2.4333726596,0.2616507511,2.8252330503,7.8821796985,2.9178597323,19.9776613466,68.6952286664,-26.6814564041,96.4529348424,202.4884757458,135.7600531597,-196.2856960028,131.9248701135,6.7
9,397.6899,0.0131120692386952,0.0013314701343621,387.9447,0.0340015765513846,0.002541535633866,352.0163,0.0251722581852989,0.0010918525694216,202.180328369082,41.908381517091485,7.81967338183609e-05,23.2,23.2,15.0,-2.3010839627,32.6492114725,-2.3587992983,33.115888187,139.0352941176,70.3413901348,260.4923529412,167.4556822857,159.0319852941,42.1845973218,2.455e-07,2.4278e-06,1.2e-08,1.366e-07,5.28e-08,1.2771e-06,21.0566344293,77.2094463957,-8.7269072805,3.0008285666,-0.7245747198,2.3526371107,0.5101871588,2.8149975625,7.994409182,2.7803742099,17.4868300178,70.0372546606,-35.4984640485,110.9007668851,191.9513643562,240.6580150983,-177.6284463065,238.1920229362,5.5
10,397.118,0.0230774948786522,0.001759096166488,387.8517,0.0291890804687428,0.0024614460411967,353.033,0.0069233817009546,0.0010686319795962,208.00000279746664,44.595227947335374,5.819674428384658e-05,23.2,23.2,15.0,0.472796531,33.4056598865,0.2470013414,34.3114073853,142.534496124,26.3205274906,260.9779069767,67.3532564393,132.2489922481,35.6659182384,9.66e-08,2.2982e-06,4.03e-08,1.935e-07,1.398e-07,1.1323e-06,27.4504898368,61.1064517059,-7.6690421914,2.8542523196,-0.4376029718,2.1275713214,1.0556655582,2.7160002154,8.1802585676,2.6291476709,26.7340779057,53.9609509888,-21.8239622341,88.9858631183,247.1636311628,274.843350776,-215.8055232055,250.3550415652,7.6
11,392.0728,0.0795080936926386,0.0029036981474968,381.626,0.0877511004534531,0.0021688360299265,351.384,0.0279009152594755,0.0009871254673626,216.49999105525865,43.44883280610577,8.499988257791996e-05,23.2,23.2,15.0,0.185810904,33.413339181,2.1056859943,31.2164454382,168.9421666667,40.1571884222,372.3833333333,104.0097624852,100.2078333333,17.5584301777,3.03e-08,1.8797e-06,-3.472e-07,5.831e-07,1.099e-07,1.0702e-06,34.5498263138,62.8583804716,-6.469421594,3.0525834343,0.1213471742,2.3662986247,1.7938838596,2.9622149495,8.67454557,2.8154309992,32.1346973835,57.7291192686,-20.3616583845,99.3155808405,179.5506157014,152.9714427654,-183.6247363723,151.2417251698,7.6
12,379.8124,0.1622071209624337,0.0036022241100699,369.9961,0.1369702163424216,0.0016950303587443,347.2723,0.0511747537411062,0.0008535591253587,192.4677367672258,20.46926138147685,0.0002403225428803,23.2,23.2,15.0,3.1934178514,29.8982434667,3.4035757097,30.4728795842,203.3042962963,37.7831591045,464.6887407407,166.2315815269,135.6774074074,26.3658676368,2.302e-07,1.7119e-06,-4.837e-07,6.749e-07,6.8e-09,9.68e-07,35.4981718792,60.0953903638,-5.6180290311,3.0389970328,0.5950759655,2.4159723633,2.2436989349,3.0061484672,8.748011561,2.7784573099,34.6461158722,54.0265333747,-20.5934801219,108.7207563178,242.5701868836,130.2568389626,-250.4525535476,135.9830198966,7.6
13,358.7038,0.2466907962689128,0.00277218083968,354.1416,0.1727512695521991,0.0010905139562621,341.0308,0.0706127381849535,0.0006779999289573,172.19355503203226,25.314063520825528,0.0002027418173519,21.7,21.7,15.0,5.2233776534,28.994072574,5.1244184905,29.7910497811,195.560875,42.3615836193,533.761875,133.009547661,125.879125,27.447629187,5.739e-07,1.6023e-06,-7.309e-07,8.063e-07,1.474e-07,1.0158e-06,31.9491562423,52.9350246373,-5.0689268827,3.0352637425,0.9210619034,2.497329898,2.4679674213,3.0852661475,8.6806043625,2.9084412814,33.1610339978,45.9250350963,-18.3787860421,105.7946031537,200.8464170553,127.4100106464,-201.7803505073,132.2699749619,7.47
