,DXT_200,FDM_200,SDM_200,DXT_400,FDM_400,SDM_400,DXT_600,FDM_600,SDM_600,SED_AVE,SED_STD,SED_GRD,V_UP,V_TN,AGE,FRE_DG_AVE,FRE_DG_STD,EGR_DG_AVE,EGR_DG_STD,SRO_DG_AVE,SRO_DG_STD,IRO_DG_AVE,IRO_DG_STD,LRO_DG_AVE,LRO_DG_STD,CRD_UP_AVE,CRD_UP_STD,CRS_UP_AVE,CRS_UP_STD,CRM_UP_AVE,CRM_UP_STD,FRE_UP_AVE,FRE_UP_STD,EGO_UP_AVE,EGO_UP_STD,EGO_L_UP_AVE,EGO_L_UP_STD,EGO_SL_UP_AVE,EGO_SL_UP_STD,EGO_UM_UP_AVE,EGO_UM_UP_STD,EGR_UP_AVE,EGR_UP_STD,EGR_BG_UP_AVE,EGR_BG_UP_STD,INV_UP_AVE,INV_UP_STD,DLT_UP_AVE,DLT_UP_STD,MR_GCMT
0,292.4986,0.3420460381508271,0.0021071766673625,269.1451,0.1682173043060079,0.0004756813675939,272.699,0.1631460259134073,0.0005772117061629,102.25423457269493,1.0015866796299917,5.7910003212172105e-06,-58.0,-25.3,156.0,-46.035205023,74.8570383954,-34.6690449361,61.0077236024,80.3126174497,44.3178839838,269.5536912752,144.3204460781,412.1346979866,206.2883952191,5.3566e-06,1.98e-06,-4.09e-08,3.233e-07,2.2564e-06,9.425e-07,-1.3604627475,126.4489909393,49.3244977839,6.1336964243,-0.0462869662,5.8264393928,-2.9453567468,6.6171783607,-5.7047723625,6.8391306834,-0.9148847823,124.4745187111,296.8583273794,44.5081014301,49.6752296616,79.0924368787,-31.7044574688,51.4074205653,5.6
1,322.8315,0.2551379832565231,0.0048851907809139,286.5824,0.1789522109538642,0.0003882399526973,289.7758,0.1766046898358454,0.0004951922995977,102.83333460481666,1.2931547070496334,5.7910003212172105e-06,-58.0,-25.3,156.0,-36.9307562684,79.97119938,-25.097100708,65.8413034719,70.0166442953,28.6365188215,278.326442953,130.503979826,301.8725503356,180.6529816826,5.44e-06,2.3071e-06,-9.63e-08,2.322e-07,2.6478e-06,1.204e-06,22.0585967202,98.642873493,50.4412167238,5.3687965578,1.4817549448,4.9644378435,-1.274658889,5.831219102,-3.9631589222,6.0430135275,20.8564091106,99.7629753442,314.9949392186,34.0504958384,320.5114593917,573.4918942494,166.3824044405,464.3201036919,6.2
2,341.1699,0.1204294280352521,0.005536323048015,304.9958,0.1881789988483575,0.0003555263526704,308.0894,0.1879366342991344,0.0003999602143636,103.01586599179365,1.201745393135614,1.8253138697699175e-06,-58.0,-25.3,156.0,-23.1568228648,81.339949077,-14.9136411706,69.4017595213,110.8143195266,37.8965119116,765.4017751479,322.9004257793,490.4096449704,192.7608575255,5.3538e-06,2.4576e-06,1.049e-07,1.257e-07,2.8492e-06,1.3142e-06,15.6537463793,105.7040332873,49.8512846272,5.6891464989,1.3394674801,5.1786368632,-1.3534424534,6.0946398999,-4.1406937241,6.4304123612,16.6416538512,103.4866318814,316.6198816192,25.1355774123,631.8800910736,808.7905132056,240.7759934324,802.7619321253,5.6
3,345.9217,0.0245972373148346,0.0036699468838896,324.3024,0.1971216583729846,0.0003656007484074,327.4019,0.1967690048947992,0.00029463993742,102.69840506884128,1.3526506547607873,3.1746092295235896e-06,-58.0,-25.3,156.0,10.2702578466,81.6477272798,16.8341857393,72.2837810609,168.0022222222,22.0921122114,1358.8587719298,316.3709388314,930.0358479532,421.8189538078,5.2416e-06,2.2892e-06,1.808e-07,1.585e-07,2.9892e-06,1.2915e-06,-20.918785648,132.301329491,48.3101031135,7.0509909884,0.1302253885,6.3799876333,-2.3607585441,7.4044765824,-5.0443493948,7.6968935594,-22.6419793634,132.711872975,302.2458194509,20.4325010953,449.0758912404,601.6974072336,-8.5496864001,595.0842039441,5.9
4,341.6833,0.0544879112039786,0.0010653656610372,344.5239,0.206490983183964,0.0003832437106156,347.4503,0.2028773227423393,0.0001816525024299,101.70491490580326,0.775523772677499,9.934901630380273e-06,-58.0,-25.3,156.0,23.6826416534,75.7164743283,25.4269477862,67.6598649437,182.5370987654,24.1507224461,1826.0983333333,254.3693838152,1281.4145061728,319.8634702688,5.2031e-06,2.0866e-06,2.035e-07,1.857e-07,2.9755e-06,1.218e-06,-27.5076180514,149.6246984239,47.5693701074,7.7487030382,-0.2901198823,6.9647400005,-2.514763324,8.0332338311,-5.1901498367,8.2384055787,-30.4080673811,150.2445749587,302.6968640267,25.0867606734,519.9661226561,568.6935264152,71.0460748597,626.3347696159,6.0
5,337.5566,0.0262094037951394,0.0041379644393888,365.6996,0.2159619225586997,0.0003620770872905,367.9522,0.2060962370807473,6.336579290179975e-05,103.24999678132812,1.369312118581953,1.5450818755248647e-05,-58.0,-25.3,156.0,7.4349886155,63.8795317434,7.8858662339,61.9196308372,185.5630909091,27.238287149,1484.0908484848,442.0427673227,843.168969697,235.6635761924,4.9911e-06,2.0182e-06,7.73e-08,2.077e-07,2.6981e-06,1.111e-06,-26.4475750164,146.6990326685,47.2756056468,8.1656211395,-0.2646046632,7.2760595183,-2.1944171637,8.3735996859,-4.8097815201,8.7039599749,-26.5113685926,145.5320870499,287.8044331869,46.3167443899,364.3104953152,499.6269886523,-47.032056139,508.2015770637,7.7
6,343.6417,0.1325039288442014,0.0069050284684016,387.7725,0.2240687585102491,0.000260467571484,388.6123,0.2063229113526536,5.758742220564722e-05,107.01563119896876,2.314972055846126,3.765634417640634e-05,-58.0,-25.3,156.0,1.3390701866,56.7905626383,1.6853029746,55.6320909979,168.5257225434,38.127520232,1246.8943352601,581.8313699174,670.9010982659,201.2650854504,4.7559e-06,1.9943e-06,-5.7e-09,1.78e-07,2.4675e-06,1.0017e-06,-18.5592162403,151.986181509,46.9794084437,8.6322668912,-0.2096224157,7.6689817156,-1.9001829254,8.7709850216,-4.4231100342,9.1499016087,-16.9109284373,148.9456123574,285.3115763945,48.485861074,259.1479753833,389.7647993709,-184.7424412857,279.2826526592,7.7
7,366.7027,0.3111148214004078,0.0068275065536604,410.4864,0.2285081542478181,7.834291568703728e-05,409.1288,0.2035312964670009,0.0001773359245807,111.1666663198182,3.670447441818794,4.1510351208494525e-05,-75.8,-37.3,156.3,-8.415918507,52.8728135483,-9.2931850593,52.7849547732,213.6443478261,63.6702144086,2019.4969565217,883.3284008095,1134.667826087,410.5855436204,4.7989e-06,1.9123e-06,1.392e-07,1.658e-07,2.6551e-06,9.965e-07,-13.065719243,157.3915415898,45.7940739441,8.9936549433,-0.9049067783,7.9756278695,-2.5235080486,9.0246912361,-5.061334457,9.381064381,-15.0209851456,154.9060693203,267.0861676026,40.1709449076,280.9801028505,396.8928949552,-225.5349467959,315.6911200066,7.7
8,406.5036,0.4506482990228646,0.0035399341128145,433.335,0.226799851223186,0.000235586135368,429.2026,0.1977947824773541,0.0002916869479751,115.50793142169842,4.86605749519489,4.3412651018802096e-05,-75.8,-37.3,156.3,-3.2099179168,74.4499730066,-2.8815001268,71.8828009057,271.8778409091,63.9507338068,2926.8695454545,1009.5881610705,1648.2134090909,634.2773134754,4.554e-06,1.7055e-06,3.671e-07,4.317e-07,2.725e-06,1.0838e-06,-17.8941364846,157.9879945284,45.9796147165,9.3934197286,-0.5879503658,8.2045650504,-1.7973540443,9.3029001216,-4.0841474356,9.6143611701,-11.6681113545,158.0177351214,271.4341108105,51.0503681763,254.0710313661,372.3011105529,-205.149164847,297.848674685,6.0
9,454.9747,0.4836318380694001,0.0017122582701047,455.5901,0.2171340601190946,0.0005737594644122,448.5481,0.1893102413270167,0.0003951652979142,117.9705950792794,5.6202690173569785,2.46266365758098e-05,-75.8,-37.3,156.3,-2.6575299735,53.0262205076,-6.5296060386,57.2032620008,216.7832934132,86.9221481491,2123.8875449102,952.7961970972,1160.0431736527,494.4259667462,4.2276e-06,1.2844e-06,4.735e-07,7.279e-07,2.3855e-06,8.197e-07,-31.2970492808,151.8534548422,44.615606308,9.1438628169,-1.5967774358,7.8836316559,-2.5837977869,8.9467919428,-4.6934344961,9.2911216516,-32.2926297632,148.2062112405,269.7766778635,46.1670522561,257.5014808716,374.8998866887,-210.2689525889,303.6928395981,5.8
