,DXT_200,FDM_200,SDM_200,DXT_400,FDM_400,SDM_400,DXT_600,FDM_600,SDM_600,SED_AVE,SED_STD,SED_GRD,V_UP,V_TN,AGE,FRE_DG_AVE,FRE_DG_STD,EGR_DG_AVE,EGR_DG_STD,SRO_DG_AVE,SRO_DG_STD,IRO_DG_AVE,IRO_DG_STD,LRO_DG_AVE,LRO_DG_STD,CRD_UP_AVE,CRD_UP_STD,CRS_UP_AVE,CRS_UP_STD,CRM_UP_AVE,CRM_UP_STD,FRE_UP_AVE,FRE_UP_STD,EGO_UP_AVE,EGO_UP_STD,EGO_L_UP_AVE,EGO_L_UP_STD,EGO_SL_UP_AVE,EGO_SL_UP_STD,EGO_UM_UP_AVE,EGO_UM_UP_STD,EGR_UP_AVE,EGR_UP_STD,EGR_BG_UP_AVE,EGR_BG_UP_STD,INV_UP_AVE,INV_UP_STD,DLT_UP_AVE,DLT_UP_STD,MR_GCMT
0,559.2179,0.0680877512675476,0.002951408522962,577.1605,0.0884421701949089,0.0007230332912774,586.4082,0.0679602803767323,0.0002736930758334,932.090925736818,16.098865409214756,0.0006517253846008,-53.7,-53.7,95.0,19.0179524546,24.7698273807,18.2348510018,22.0122545426,,,,,,,4.1265e-06,1.6338e-06,1.1553e-06,8.931e-07,1.7512e-06,1.6033e-06,57.3997801614,40.1248469333,18.3874101774,0.9601354175,2.4762552964,1.0479462347,1.7674363679,1.1171767587,6.3443556035,1.2672969849,56.0831489455,35.3826229138,-11.5086592231,34.7173865846,89.6424075535,101.0043943923,-48.1742663006,64.941572859,1.0
1,556.2211,0.0128245656028278,0.0019303015137316,569.3447,0.0692621982126476,0.000804186296085,580.0071,0.0604603908014351,0.0003287355343523,866.9183872767346,33.44006959865636,0.0006517253846008,-53.7,-53.7,95.0,11.1317780761,24.6632928987,11.5299287613,23.7570205578,,,,,,,4.1688e-06,1.9831e-06,8.568e-07,6.768e-07,2.373e-06,1.7566e-06,45.1460257765,40.9245764036,17.5860688669,1.2167600819,1.4879805913,1.140204443,0.3332387931,1.2880543297,5.288299931,1.306747794,43.1602540342,35.3794179445,-10.5459907708,33.5646077297,100.0162457981,71.1722671283,-47.2154673208,39.8667410548,1.0
2,558.0288,0.0294018886242128,0.0006814474602449,563.5305,0.0490739435748004,0.0007962953047748,574.426,0.0518013325146065,0.0003641610430048,786.0131643194736,30.838493286453065,0.0008090522295726,-53.7,-53.7,95.0,-20.5475758607,50.1277977639,-17.6841863382,48.1529741972,,,,,,,4.0622e-06,2.0476e-06,1.2445e-06,6.778e-07,2.5962e-06,1.4045e-06,-2.5385452597,37.2738653912,14.9522785589,1.5026602196,-1.3787412253,1.1831904904,-2.9470909994,1.3144559207,2.1739297023,1.3099969179,-4.476360574,32.9868402526,-25.4524893432,19.792022185,113.3767360729,67.2048414559,-56.0624362656,45.6734302089,5.2
3,561.5743,0.0349818252327297,0.0002673717922446,559.6998,0.0299573909192197,0.0007143842312352,569.7532,0.0424884655944622,0.0003789348968741,699.0000113932,27.89169827533692,0.0008701315292627,-53.7,-53.7,95.0,-3.3388207353,59.6205741787,-2.2466831382,59.2531938741,,,,,,,3.4274e-06,2.6821e-06,7.088e-07,3.649e-07,1.9611e-06,1.9218e-06,-50.1808134043,21.1734874001,12.4847854668,1.4597815241,-3.9104637216,0.7927620587,-5.7946995688,0.8759500185,-0.3659986152,0.9764403774,-48.7211824785,17.9085491962,-38.2548534758,22.4255653709,134.4178663802,66.0542547572,-73.4117488732,40.9447617079,5.9
4,564.5571,0.0232506650263989,0.0006446540063206,557.6501,0.0135116916025707,0.0005818089768604,566.0258,0.0330355725220424,0.0003735416976929,600.7441966921511,32.60339278475531,0.0009825581470104,-53.7,-53.7,95.0,17.3731559156,58.6419361634,18.4631316796,57.3586067085,,,,,,,1.8609e-06,1.8289e-06,2.649e-07,4.585e-07,7.179e-07,1.0749e-06,-56.7349932797,55.064287675,11.8886342219,1.5940706206,-4.3599609562,1.7261981883,-6.407280345,1.7551540725,-0.8053768295,1.7781767176,-55.7638123887,52.5864625051,-25.0521393599,61.5673807835,156.3048043684,86.3661999412,-76.4246754584,109.5364369403,1.0
5,565.9723,0.0069257710991871,0.0006030818301099,557.0525,0.0027586377333867,0.000424778845835,563.2304,0.0239291166446496,0.0003497717687712,514.6309603736667,32.18687390078978,0.0008611323631848,-53.7,-53.7,95.0,16.4274434369,48.2797206203,17.0561147951,47.0843716249,,,,,,,1.3225e-06,9.843e-07,-2.29e-08,4.807e-07,2.47e-07,5.852e-07,-30.7347725125,90.2497238501,13.0751655306,2.0347062612,-3.3485763834,2.6573133325,-5.4683992306,2.6856627269,0.2522284145,2.7242614667,-30.7649260203,86.3306394693,-10.5101164018,91.4112216496,168.0672017973,85.9334680463,-20.615067789,110.136589649,5.5
6,565.9007,0.0054775181546781,0.0003453515642527,557.5169,0.0081206178774117,0.0002676513628467,561.3079,0.015598562005414,0.000310451156571,470.7974718311773,27.82375990404811,0.0004383348854248,-53.7,-53.7,95.0,15.1687331272,47.3286172959,16.4084758406,46.6141797715,195.7776470588,83.5032162311,508.2795588235,153.6780337401,889.6275,479.5715717131,1.4579e-06,8.943e-07,1.451e-07,3.26e-07,7.525e-07,5.389e-07,-20.9632619279,72.5086400569,14.6127935216,1.9336804282,-2.444662981,2.3666357402,-4.5669339636,2.3906941354,1.2156372068,2.4716892175,-22.6066449369,72.423391037,-6.425995032,97.798254324,124.2205781539,38.34734433,-54.4752279619,53.8752030219,5.4
7,564.9666,0.0109052215703529,7.951774955823692e-05,558.6523,0.0132037514894669,0.0001295489063143,560.1604,0.0083937392556622,0.0002591505918799,457.5301204819277,19.52344178005769,0.0001326735134924,-53.7,-53.7,95.0,21.3830153661,42.3260360956,21.0107778922,42.066424343,135.5386826347,54.4869118114,403.8334131737,190.931752709,769.4258682635,381.4977262114,1.0526e-06,1.1222e-06,1.255e-07,3.013e-07,5.059e-07,8.021e-07,8.6939544987,35.2949808758,15.9647938218,1.7787959174,-0.9663342905,1.2494616441,-2.9439785878,1.178142557,2.834309607,1.21688958,7.9877307355,34.7240396786,52.4623172831,79.2163037889,89.3088661968,23.7761155519,-69.3888587952,27.1775254874,6.4
8,563.8475,0.0103395086041584,0.0001154912689215,560.1147,0.0151665054522219,2.7606738872709496e-05,559.6599,0.0025694852394553,0.0001998989124256,467.3541650771875,11.74909775174443,9.824044595259764e-05,-53.7,-53.7,95.0,26.338196917,27.846117544,26.4386189551,28.2492312766,68.2986938776,32.5131315501,289.2235510204,145.9020951831,532.335877551,308.9828511306,2.072e-07,2.793e-07,1.177e-07,7.88e-08,-1.458e-07,2.14e-07,6.9333303073,26.7713664563,15.8547790275,1.5877581817,-0.7414364419,0.9088902473,-2.387138315,0.6162163471,3.4945077266,0.4972510517,9.3308720785,26.0499763956,125.5411177941,46.3634534238,96.824865599,16.232942377,-93.5742393699,10.3848451518,1.0
9,563.0057,0.0064129145268619,0.0001881812864177,561.6368,0.0148501881130985,4.90713830041017e-05,559.6589,0.0017303071604278,0.0001369209851369,489.1881269700693,6.025877705393205,0.0002183396189288,-53.7,-53.7,95.0,18.0621293422,20.3676882411,17.914353278,20.2269566753,85.5371484375,28.8212799271,253.7034375,118.4342559314,489.4546875,344.2043277549,1.969e-07,1.608e-07,8.51e-08,3.68e-08,-1.92e-08,1.299e-07,3.3807296467,20.5152570242,16.0660993136,1.0649078664,-0.8864472422,0.6263904827,-2.3152556511,0.3255239986,3.488206411,0.3007109106,0.8340175212,18.6038336325,145.9698498066,38.262407995,110.5114415487,19.5991510008,-108.2564810294,15.1470639231,1.0
