,DXT_200,FDM_200,SDM_200,DXT_400,FDM_400,SDM_400,DXT_600,FDM_600,SDM_600,SED_AVE,SED_STD,SED_GRD,V_UP,V_TN,AGE,FRE_DG_AVE,FRE_DG_STD,EGR_DG_AVE,EGR_DG_STD,SRO_DG_AVE,SRO_DG_STD,IRO_DG_AVE,IRO_DG_STD,LRO_DG_AVE,LRO_DG_STD,CRD_UP_AVE,CRD_UP_STD,CRS_UP_AVE,CRS_UP_STD,CRM_UP_AVE,CRM_UP_STD,FRE_UP_AVE,FRE_UP_STD,EGO_UP_AVE,EGO_UP_STD,EGO_L_UP_AVE,EGO_L_UP_STD,EGO_SL_UP_AVE,EGO_SL_UP_STD,EGO_UM_UP_AVE,EGO_UM_UP_STD,EGR_UP_AVE,EGR_UP_STD,EGR_BG_UP_AVE,EGR_BG_UP_STD,INV_UP_AVE,INV_UP_STD,DLT_UP_AVE,DLT_UP_STD,MR_GCMT
0,506.8146,0.3877666904368722,0.0014732194152233,499.2253,0.2102959711281014,0.0001781134460047,500.0253,0.133556169077035,0.0002201941610265,423.1184228595658,149.11254287688718,0.0009135098809625,-11.9,-20.0,132.0,-16.3492095626,52.7403631386,-9.5396255481,46.1145266111,183.1062913907,125.8910698147,1158.8646357616,728.4521269364,560.7675496689,343.7618422494,1.0583e-06,9.95e-08,2.801e-07,2.231e-07,3.841e-07,4.978e-07,-9.9525358464,115.493563242,28.2669949333,9.5747265929,-1.9009890691,6.7831775388,-1.8040987688,8.4688479442,-5.3450438312,9.1748534694,-12.2025209317,114.8344727636,140.6861573855,58.7089215287,304.8753469613,110.2670372083,-326.1530770522,116.8970189963,9.09
1,542.556,0.3154291112116444,0.0043802836717467,519.8758,0.2004235916639987,0.0006768581499084,513.0267,0.1261000108870109,0.0003938225496552,331.767434763314,149.07987113221668,0.0009135098809625,-11.9,-20.0,132.0,8.4262945438,47.7460367811,4.29880729,45.4493786296,203.7217318436,130.8459589991,1560.2266480447,857.9980374129,599.6481564246,297.6505021753,1.0431e-06,1.215e-07,1.186e-07,1.178e-07,3.872e-07,5.276e-07,-36.4202477109,113.2273392425,26.2450693693,9.2705384418,-2.8374844087,6.5513608788,-3.052539689,8.0443708462,-6.9054250771,8.7921065529,-32.4696460366,114.5162163239,172.4811737843,78.2445512919,298.3495035171,97.801554374,-310.8701462065,101.2248021709,9.09
2,567.5419,0.1898943666463983,0.0054150734329674,538.8416,0.1782737431839071,0.0011230110096958,525.0456,0.1144616721572175,0.0005484996813967,303.5000128746125,146.03852024863602,0.000282674218887,-11.9,-20.0,132.0,-5.2652843762,42.2621449586,-4.6715141626,41.4490268539,176.1774074074,125.382606319,964.3427160494,706.5127090152,680.9188888889,517.5019652363,1.0348e-06,1.321e-07,-2.68e-08,4.49e-08,4.356e-07,6.764e-07,-4.977309341,111.4956268765,27.9364258279,9.2432948526,-1.1604773713,6.4224483629,-1.1085614882,7.8616953837,-5.0598922896,8.6796949644,-5.0751835437,109.9679147233,165.3518281491,70.5575663563,277.7870660312,80.6180956772,-279.6640858305,79.7730882702,9.09
3,579.186,0.0613131519918411,0.0045105934935188,555.0118,0.1462507587709647,0.0014490828082763,535.6962,0.0992784830998445,0.0006728512422402,260.74073461840743,120.70336767132856,0.000427592782562,-11.9,-20.0,132.0,2.7700545759,52.2252399628,3.6683695227,52.1879278582,175.0110493827,91.1929791374,1477.2930246914,1245.212286339,975.7152469136,769.9243693771,1.0111e-06,1.793e-07,-9.49e-08,3.35e-08,4.945e-07,9.8e-07,7.4946686572,100.9789085156,28.5791225731,8.7322218817,-0.177378596,5.8939031349,-0.0884525239,7.2556215703,-4.0202626619,8.0631478152,7.4625231785,97.5323449485,162.1874972184,66.617242072,260.5509169607,59.0086787534,-270.7116966247,72.2920011969,9.09
4,579.6678,0.030282342894123,0.0024552953637178,567.5734,0.1076528890609156,0.0016331294464391,544.6685,0.0814031075375315,0.0007589856924725,276.82924466014634,106.38595104815757,0.0001608851004173,-11.9,-20.0,132.0,-5.5334869283,36.7475865662,-3.3542367455,35.0253450455,171.0875925926,71.7647735365,924.3651851852,706.2730394915,471.7579012346,322.1440666987,1.0034e-06,1.963e-07,-1.199e-07,3.3e-08,5.318e-07,1.0548e-06,11.263890975,87.0600729527,28.3577323393,8.2987619766,0.1837813438,5.4404689219,0.1403608603,6.7446629011,-3.855244032,7.5835030428,11.1843332296,85.3627218245,163.9399707101,68.550007308,278.1908642999,80.6001487095,-283.0130924357,83.2107133914,9.09
5,574.0233,0.0656611347929101,0.0005258269759847,576.0662,0.0660702794106209,0.0016752197205664,551.7475,0.0618528586342539,0.0008019670742746,307.98684712465786,126.02782950631888,0.0003115760246451,-10.7,-20.0,131.0,1.3742721627,42.7277914004,1.0701575027,42.6287522783,173.1943262411,103.0603055594,537.1674468085,396.3480029795,271.2383687943,111.337473085,1.0644e-06,1.762e-07,-1.248e-07,4.39e-08,5.163e-07,6.554e-07,36.8082350801,85.340672994,30.1675585714,8.3627280858,1.7514385057,5.3990091797,1.8984838065,6.7483130523,-1.9944620199,7.5599312517,36.1814560132,85.8861310182,160.9802434855,53.5614706252,265.0749659711,115.8929742587,-270.0980034334,128.8963518242,9.09
6,567.6567,0.0531439246775044,0.0012514158011421,580.3833,0.0248964471148597,0.0015914052121264,556.8261,0.0417335912292629,0.0007999574562838,428.09334248868,258.60715355144606,0.0012010649536402,-10.7,-20.0,131.0,3.8618916706,50.5834375764,2.5414575439,50.3272502769,105.5612295082,60.3441085798,289.511147541,218.5416020349,155.5914754098,47.1850767196,1.1106e-06,1.813e-07,-9.53e-08,4.54e-08,6.095e-07,8.744e-07,41.0051323559,90.4888572573,30.8707504131,8.6589088407,2.4499699979,5.6833300576,2.6246061771,7.0523858252,-1.0354964883,7.8392064018,41.7490122336,89.4020984373,149.2594356961,50.300514102,277.6230088075,170.0994562269,-241.6620449623,146.6215002381,9.09
7,564.3047,0.0158085217247663,0.0016344197722975,580.7319,0.0137430476133307,0.0014059975314095,559.909,0.0221631363347556,0.0007540968401945,501.1250123977875,305.2025283971465,0.000730316699091,-10.7,-20.0,131.0,7.7107174055,46.7841514061,7.4043330426,47.2359396548,53.833006993,15.4903336443,127.0674125874,31.1261415263,93.8198601399,18.289945535,1.126e-06,2.052e-07,-2.44e-08,4.76e-08,7.536e-07,1.2493e-06,17.2190946759,109.8134032029,28.5431057011,9.2964436235,1.0587473507,6.3565127361,0.7782093791,7.7049361672,-2.9364741333,8.4628346536,15.6942996506,109.7352877518,146.4839417053,57.9752752256,301.7891461261,137.5051520559,-255.6224839099,141.678189713,9.09
8,564.9255,0.019488335475094,0.0008934284390296,577.5729,0.0453256288903048,0.001144477180788,561.1107,0.0052501018637521,0.0006681986880753,507.0897424160129,313.8285157054784,5.9647300182253945e-05,-10.7,-20.0,131.0,7.0468181627,45.505490685,6.7445355177,45.9609795705,50.2388148148,11.1572157719,128.3787407407,37.8598978776,100.4255555556,25.6362276553,1.1312e-06,1.953e-07,2.46e-08,4.15e-08,7.883e-07,1.3083e-06,25.3516668078,113.5941418855,28.1062237177,9.3959200226,0.9148148074,6.4897904366,0.4487708827,7.8410499109,-3.1528999356,8.5236871766,23.7680448875,111.3583473645,138.0837646224,59.6757099653,321.0652709772,101.6907489604,-276.789933499,113.0451792662,9.09
9,567.7102,0.0264724444783706,0.0005800737372744,571.5579,0.0704814297927303,0.0008292381325846,560.6452,0.0112191608435541,0.0005483532176476,525.2727217240152,325.5954258401262,0.00018182979308,-11.0,-19.6,128.0,-11.6543820346,57.1584463496,-12.8994120253,58.4801469325,51.8883076923,13.5053731266,111.026,30.8651319229,121.4167692308,50.0986012121,1.0806e-06,1.536e-07,5.69e-08,1.683e-07,7.523e-07,1.1963e-06,45.9777668404,101.5724110662,28.4800863044,8.8320128885,1.1167008416,6.0076361256,0.6795297966,7.33137031,-2.6380113489,8.0312964438,45.2988712247,99.067885459,133.6110579469,51.2260011012,313.296177169,107.1409526345,-280.6054020574,99.4968983933,8.2
