,DXT_200,FDM_200,SDM_200,DXT_400,FDM_400,SDM_400,DXT_600,FDM_600,SDM_600,SED_AVE,SED_STD,SED_GRD,V_UP,V_TN,AGE,FRE_DG_AVE,FRE_DG_STD,EGR_DG_AVE,EGR_DG_STD,SRO_DG_AVE,SRO_DG_STD,IRO_DG_AVE,IRO_DG_STD,LRO_DG_AVE,LRO_DG_STD,CRD_UP_AVE,CRD_UP_STD,CRS_UP_AVE,CRS_UP_STD,CRM_UP_AVE,CRM_UP_STD,FRE_UP_AVE,FRE_UP_STD,EGO_UP_AVE,EGO_UP_STD,EGO_L_UP_AVE,EGO_L_UP_STD,EGO_SL_UP_AVE,EGO_SL_UP_STD,EGO_UM_UP_AVE,EGO_UM_UP_STD,EGR_UP_AVE,EGR_UP_STD,EGR_BG_UP_AVE,EGR_BG_UP_STD,INV_UP_AVE,INV_UP_STD,DLT_UP_AVE,DLT_UP_STD,MR_GCMT
0,361.9582,0.022240957466874,2.3683077368766792e-05,363.5335,0.0190373582597587,2.3310857580360904e-05,361.0656,0.0115258226791851,4.726796083601394e-05,210.7821565658699,135.87945641470205,0.0006976095579627,-17.5,9.0,38.0,-0.3361965824,26.89665773,1.1325470399,25.9467471653,257.1604666667,59.5138192393,805.3505333333,206.2053370592,500.1086,193.3354981029,2.5988e-06,9.382e-07,6.233e-07,7.859e-07,5.424e-07,8.207e-07,12.4431199969,53.3377674287,25.8278386614,1.8981745839,0.4931013857,2.3471793469,-0.6012255135,2.8096152759,1.0658915728,3.2740195694,11.6800867873,53.8064020028,166.7898764146,81.6599668248,706.2864205424,532.3979113332,-303.8686607971,708.0852521249,6.1
1,364.1652,0.0215817512604313,5.2938307265880105e-05,365.387,0.0177454469530068,8.813304327559038e-05,362.2809,0.0126375835206945,4.124578434929129e-05,280.5431123621426,166.54870571312483,0.0006976095579627,-17.5,9.0,38.0,-0.2842733677,25.9568441861,-0.8418983339,26.3357543234,302.4624157303,58.1872250189,803.2771348315,191.8569235666,525.7802808989,115.5129921115,2.3372e-06,9.151e-07,1.345e-07,4.626e-07,1.25e-07,7.545e-07,22.9980421104,47.6579070844,27.0660773807,1.083634911,0.9688625316,1.4906859802,0.1093104578,1.8625570546,1.340619333,2.32271113,23.8309513864,45.8115829224,154.9219353146,89.4816044371,602.172387815,173.250406579,-269.0513450024,478.8359267525,5.1
2,366.2459,0.0201575077586086,5.66722318096776e-05,367.0206,0.0148215490328705,0.0001506615113127,363.5991,0.0135810960334346,3.30408837704332e-05,271.30592743770563,148.25775546777382,9.23718492443698e-05,-17.5,9.0,38.0,-1.8915552578,21.7145193211,-1.7158512481,21.4893770903,228.9822335025,56.471771063,533.6858375635,165.3697673925,305.3330456853,88.4277852024,2.335e-06,1.0747e-06,-1.554e-07,3.888e-07,8.621e-07,6.602e-07,18.6575037253,48.0137388877,27.3484217927,0.9432387544,0.6199671057,1.3520990863,-0.0239837332,1.6183092774,0.8111832155,2.0905622731,15.9555821387,46.6136995804,152.2164362572,102.4265274967,469.6536264835,187.273492376,-370.8381784273,333.8723868676,1.0
3,368.1834,0.0186464083379738,7.539058623160374e-05,368.2787,0.0104606970299059,0.0002002888220762,364.9997,0.0142930592581203,2.243593017371071e-05,176.11423358635076,131.5352711738541,0.0009519169385135,-17.5,9.0,38.0,0.0680074116,28.0950742078,0.0697874601,27.8512241711,232.8761627907,93.52840149,531.0383139535,249.7267404516,354.4986046512,236.0860986455,2.4251e-06,1.2641e-06,-1.232e-07,4.326e-07,1.2375e-06,8.035e-07,9.69430447,44.325892977,27.4404423085,1.0236170463,0.3684799873,1.532241855,0.0988353516,1.8174495718,0.8214939105,2.4582304386,11.4519247089,42.944382569,142.0179200274,97.4859519805,346.7817863498,279.8643823226,-329.8665551073,326.6178843827,1.0
4,369.9247,0.0158924733778216,0.0001662539206953,369.0383,0.0050863187340573,0.0002281954990042,366.4561,0.0147101139796593,9.121805895576904e-06,193.78014207261592,169.78036952244287,0.0001766590848626,-17.5,9.0,38.0,-1.1604465298,29.4980973309,-2.3995352543,30.3558353334,240.5884615385,86.6778954473,479.221025641,221.2149246257,472.2852564103,257.3249178031,2.5374e-06,1.1844e-06,2.84e-08,5.049e-07,1.1773e-06,6.788e-07,-1.622714297,54.5242872393,27.1271269057,1.564258184,-0.4654399685,2.0762873229,-0.4258415197,2.3560731507,0.0921041963,2.9613427751,-1.868895321,53.3317812118,132.8075237285,99.5209791673,427.45039763,384.2426985956,-317.6987420531,416.6975564335,1.0
5,371.2457,0.0102445035579966,0.0002989365987076,369.2302,0.001524384300569,0.000227020293348,367.935,0.0147606290363028,7.399131143603593e-06,296.2164432063409,216.240662796768,0.0010243630113372,-17.5,9.0,38.0,-3.5327565263,31.0060195062,-1.4512950874,29.2857180789,200.9676923077,56.5012430751,383.0377564103,117.5484256707,391.0767307692,180.950191713,2.6194e-06,1.19e-06,4.07e-08,3.136e-07,1.5632e-06,8.076e-07,-13.1540524316,53.5845281187,26.9797578239,1.9942652109,-1.0696232368,2.4940147414,-0.7479514836,2.7991741323,-0.5420221351,3.5090519008,-13.4140997982,52.7088720063,130.3908611948,99.4748442157,553.0282033741,523.0300319667,-356.0378564806,608.0853128965,1.0
6,371.8243,0.0027079686474687,0.0003827390681851,368.858,0.0060279439668234,0.0001923802709321,369.3954,0.0143640490317708,2.704351530539525e-05,339.6499803887655,213.4616110250244,0.0004343353718242,-17.5,9.0,38.0,-1.5668402408,35.4494981617,-3.0470895648,36.4128547749,213.8481506849,46.6871334539,377.7755479452,67.575970237,475.8039041096,135.2670015414,2.5868e-06,1.3002e-06,3.61e-08,3.513e-07,1.5636e-06,8.825e-07,-14.4931474418,52.048939006,27.5303148286,2.3334952596,-0.9377913507,2.7708646361,-0.4126202551,3.1019386276,-0.3632495534,3.848203999,-15.1016939466,50.355110265,131.3196496556,83.6262368333,539.4983713041,549.2885310763,-307.2031211755,623.3503954977,1.0
7,371.4583,0.0078123638025548,0.0003475453530504,368.008,0.0101377525758029,0.0001243905000082,370.7879,0.0134314284366885,5.054789079262228e-05,241.3429695243224,129.70972596169568,0.0009830701086444,-20.5,11.8,48.0,1.0235235232,40.2444567239,0.9528947272,39.6305265648,209.4061904762,57.1405858041,444.4585034014,113.2322499634,391.0239041096,94.9819348171,2.5407e-06,1.6664e-06,-1.176e-07,4.151e-07,1.2325e-06,8.898e-07,18.0035178365,54.0155369448,29.092931731,2.4616244392,0.2468485778,2.8633868778,0.8630706085,3.1703998713,0.5373199684,3.915610296,17.2142604214,51.9303420582,137.3309359221,73.9676050034,459.3105668024,565.5531387208,-297.8965040034,630.8133092288,5.5
8,370.2353,0.0149891905010679,0.0001963582880453,366.8499,0.0122180223599688,3.4803847688509805e-05,372.0536,0.0118678147988346,7.79156951714998e-05,202.2159702466812,91.8590867046606,0.0003912699927764,-20.5,11.8,48.0,9.1903763764,40.0174323185,7.6124466838,40.7148554162,210.3849382716,56.5689339584,589.1503703704,180.4303404514,637.2618518519,127.4584560893,2.4684e-06,1.9655e-06,-2.386e-07,2.147e-07,1.2354e-06,1.145e-06,24.9643931944,47.4833224196,29.8177016007,2.4666663968,0.695122628,2.8693421559,1.2856710814,3.1759020847,0.7644002262,3.917432694,23.4287645428,46.1862504362,141.3348845231,79.5276442646,506.9760187282,581.5651004772,-412.0698533503,630.2994993432,5.2
9,368.5268,0.0176172785421412,5.3254408287636246e-05,365.6218,0.0116885019178978,8.380287166507493e-05,373.1242,0.0095772833134483,0.0001090265870609,182.3829651923384,90.49827994583626,0.0001983300505434,-20.5,11.8,48.0,0.3693875977,38.2439235543,1.66321276,38.2291440312,175.6476436782,74.4514036648,653.4095402299,219.6666801698,758.3859195402,422.5809856138,2.5151e-06,1.9103e-06,-2.674e-07,2.282e-07,1.2864e-06,1.1111e-06,24.3491524619,53.2555882394,29.8520023982,2.6351911479,0.5675506015,3.0088666574,1.0487514802,3.3341540709,0.2458280033,4.1047387197,25.0278563023,49.8625277226,143.3897250281,78.9394145315,508.6391776387,507.3936511843,-385.4382043779,593.4369791182,5.8
