CRD_UP_AVE,CRD_UP_STD,CRS_UP_AVE,CRS_UP_STD,CRM_UP_AVE,CRM_UP_STD,INV_UP_AVE,INV_UP_STD,DLT_UP_AVE,DLT_UP_STD,SED_AVE,SED_STD,SED_GRD,SRO_DG_AVE,SRO_DG_STD,IRO_DG_AVE,IRO_DG_STD,LRO_DG_AVE,LRO_DG_STD,FRE_DG_AVE,FRE_DG_STD,FRE_UP_AVE,FRE_UP_STD,EGO_UP_AVE,EGO_UP_STD,EGO_L_UP_AVE,EGO_L_UP_STD,EGO_SL_UP_AVE,EGO_SL_UP_STD,EGO_UM_UP_AVE,EGO_UM_UP_STD,EGR_DG_AVE,EGR_DG_STD,EGR_UP_AVE,EGR_UP_STD,EGR_BG_UP_AVE,EGR_BG_UP_STD,DXT_200,DXT_400,DXT_600,FDM_200,FDM_400,FDM_600,SDM_200,SDM_400,SDM_600,V_UP,V_TN,AGE,MR_GCMT
1.6218e-06,2.7502e-06,-1.49e-08,4.998e-07,8.664e-07,1.1945e-06,58.7998836772,10.3390974217,-36.3387919871,4.7102920569,13583.454545454546,172.4267241659818,0.0134967409445317,,,,,,,-11.8952960294,11.6390150308,-29.3644192734,65.9196205919,-51.9128430015,2.2061830548,-0.5345948514,2.8931113461,-0.3667171913,3.2141268505,-4.3338704695,3.1197832719,-12.3529404598,7.1328144488,-30.7608865499,63.8644638589,-108.6765425163,40.4145727068,161.3861,163.1236,155.1676,0.0713286841585967,0.0337130469169231,0.0479735971776787,0.0004395059456578,0.00048068179579,0.0002702764684746,-1.0,23.5,82.0,1.0
1.4813e-06,2.1271e-06,1.049e-07,4.947e-07,6.597e-07,9.211e-07,66.08324767,5.5587691305,-44.0538927045,3.3102676818,12233.780451001365,3270.1255115544427,0.0134967409445317,,,,,,,-15.6894593989,14.9627847972,-9.140800301,54.1110914916,-50.9394345511,1.6378336891,0.3580005624,2.356814423,1.0724113772,2.6020777902,-3.1909198254,2.5324791681,-17.1560348047,13.2339096134,-10.384476039,51.6309142142,-87.8104134514,38.237678166,153.875,159.0795,150.0087,0.0741393063037717,0.0461296162344278,0.0543283624173875,0.0002646172415194,0.0005117617993162,0.0002317224584262,-1.0,23.5,82.0,1.0
1.675e-06,1.6966e-06,2.3e-08,4.732e-07,4.479e-07,7.891e-07,69.6272773117,5.7693316979,-47.1404201007,6.7110443728,11806.103125002002,3570.2615227498904,0.0042767732599936,,,,,,,-11.9633749396,16.2360784305,-5.2771921869,52.3949736139,-50.5029308743,1.3783940444,0.5417732418,2.1005247076,1.5300140157,2.300346998,-2.9718098796,2.1748733873,-11.0159506495,15.9215911042,-4.7128552629,47.252549143,-78.7447441525,38.1057466254,146.9786,153.7585,144.272,0.0623653581491284,0.0590310234656594,0.0595504178777999,0.0006561574460575,0.0005157453942073,0.0001783693741754,-1.0,23.5,82.0,1.0
1.8888e-06,1.371e-06,-2.882e-07,3.541e-07,6.209e-07,6.413e-07,78.8575631272,18.0061387663,-46.7105112726,14.7438744443,12863.955712875002,378.8988968691187,0.01057852587873,,,,,,,-0.71193086,14.2800153847,-2.973649827,67.6041214391,-50.3566838315,1.5198529759,0.1964310073,2.1949371929,1.3715005384,2.2758300862,-3.4313443875,2.163643974,0.7546037712,13.9305333415,-5.5049954496,61.5366470004,-68.4063221808,43.755241016,141.6798,147.1516,138.0907,0.0453994511466365,0.0716628470540483,0.0632858597925949,0.0006288619033274,0.0004854191026143,0.0001118070773693,-1.0,23.5,82.0,1.0
1.7475e-06,9.798e-07,-3.363e-07,2.883e-07,8.745e-07,5.252e-07,75.7613295578,6.8865707768,-43.5164633262,7.9349657544,11100.380497093229,2457.2009889125884,0.0176357521578177,,,,,,,11.8280224099,9.8337293846,-14.0956269951,54.373807678,-50.7982980682,1.4375730693,-0.2465336202,2.1269185338,0.9895844766,2.1248593081,-4.0611564532,2.1045234681,12.7191187275,9.8477905317,-13.8699731517,54.537580685,-58.8832798237,38.6103437193,137.9158,139.3353,131.631,0.033549090429901,0.0830728767084654,0.0652303265851313,0.0002341500273429,0.0004123297138253,3.5126523319911835e-05,-1.0,23.5,82.0,1.0
1.5819e-06,5.123e-07,-2.761e-07,2.467e-07,9.552e-07,2.965e-07,63.5488006223,8.2149796625,-40.1441527951,3.3991752363,11007.830508474575,163.41800489993108,0.0009254998861865,,,,,,,16.2033806851,19.2197047069,-19.5292209885,52.0658645722,-51.4776675621,1.165272765,-0.4611925827,1.8826513649,0.6239673374,1.8195386894,-4.6132839369,1.7674504636,15.7692968621,19.4263834222,-20.538640256,49.2404288419,-48.4198727152,38.6675689489,134.6988,130.4932,125.0857,0.0345571218184217,0.0921028136556928,0.0651500890217683,0.0003851095847172,0.0002889735329097,5.0317404173620495e-05,-1.0,23.5,82.0,1.0
1.608e-06,3.365e-07,-2.226e-07,2.045e-07,8.278e-07,1.965e-07,59.5075823466,10.0510406601,-37.3554926786,1.4803470057,10600.37524415,161.50405311643132,0.0040745526432457,,,,,,,-12.4869022439,25.8051044799,-31.0601087596,42.5544943621,-52.1076787036,0.9996779875,-1.0282390216,1.5342137515,-0.1662431719,1.4023366582,-5.4616312851,1.2660370708,-11.5264796428,25.7195519889,-32.5968533484,42.7600966821,-51.4441619502,40.5978013454,130.5224,120.9339,118.6666,0.0510338835869461,0.0974452152589389,0.0629012898877001,0.0009651188384587,0.0001119219420896,0.0001386371990976,-1.0,23.5,82.0,1.0
1.5962e-06,4.485e-07,-1.498e-07,3.133e-07,7.18e-07,2.355e-07,58.1505551589,9.4553169473,-37.0034542586,0.7409767301,10102.38095238603,181.7736581286653,0.0049799429176396,,,,,,,-33.4795031204,20.6391056846,-23.7228650747,28.1928085245,-52.1392151307,1.4397540002,-1.0017236163,0.7132403305,-0.4313960027,0.5642525623,-5.9584355221,0.5458289071,-33.3222793517,20.1882192001,-24.1636778608,25.051780095,-43.8363115086,26.0158048695,123.9589,111.0997,112.5939,0.0795249074667901,0.0977864299429291,0.0584463214638031,0.0012907302167239,0.0001147940673235,0.0002259197819376,-1.0,23.5,82.0,1.0
1.4232e-06,8.903e-07,-1.326e-07,4.791e-07,7.751e-07,5.131e-07,57.8615825323,8.2255555977,-38.6616899938,1.0373420008,9620.467537172904,213.6624767060292,0.0048191341521312,,,,,,,-35.9143381572,21.3853551032,-18.3203659624,19.9586988737,-52.0031180205,2.1047938401,-0.7142517305,0.3576858367,-0.4967809787,0.537983078,-6.0509845416,0.6067932806,-34.7834015377,20.4939723421,-19.51506484,18.384427942,-35.0474503064,19.6437433785,114.2078,101.5555,107.0855,0.1119028360381849,0.0920309520454358,0.051865732952224,0.0012173859771107,0.0003760417022509,0.000307275632922,-1.0,23.5,82.0,1.0
1.2266e-06,1.4414e-06,-1.143e-07,2.784e-07,8.551e-07,7.873e-07,58.0582812956,7.2149780083,-41.5178522132,1.8600189054,9160.033898305084,286.70518526473245,0.0046043363886782,,,,,,,-30.3165907007,23.3322741012,-14.7749531336,27.0472931693,-51.6848377901,2.582509232,-0.4056969337,0.7337512701,-0.5297723044,0.9709656121,-6.3102799103,1.008721698,-30.2467591086,22.9693161824,-14.5761587803,25.9333610652,-27.4401507072,17.4723399014,101.4618,92.9524,102.3442,0.1370790178313882,0.0795631553978954,0.0433631043660898,0.0006572892283702,0.0006477014486779,0.0003778158343299,-1.0,23.5,82.0,1.0
